RA,eixo01_saude__dependencia_sus_pct,eixo01_saude__leitos_internacao_regiao_saude_2022,eixo01_saude__producao_ambulatorial_aps_regiao_saude_total_18_22,eixo01_saude__regiao_de_saude,eixo02_seguranca__roubo_pedestre_2016,eixo02_seguranca__roubo_pedestre_2024,eixo02_seguranca__roubo_pedestre_2025,eixo02_seguranca__roubo_pedestre_var_2016_2025,eixo02_seguranca__roubo_pedestre_var_2024_2025,eixo02_seguranca__taxa_feminicidio_100mil_mulheres_2025,eixo02_seguranca__taxa_homicidio_100mil_hab_2025,eixo03_assistencia_social__cras_qtd,eixo03_assistencia_social__creas_qtd,eixo03_assistencia_social__ivs_df_2018,eixo03_assistencia_social__ivs_df_2021,eixo04_emprego_renda__desocupacao_pct,eixo04_emprego_renda__renda_ate2sm_pct,eixo04_emprego_renda__renda_domiciliar_media_2018,eixo04_emprego_renda__sem_carteira_pct,eixo05_habitacao__deficit_habitacional_pct,eixo05_habitacao__sem_regularizacao_pct,eixo06_saneamento__agua_rede_geral_pct,eixo06_saneamento__esgoto_rede_geral_pct,eixo06_saneamento__lixo_coleta_direta_pct,eixo07_infraestrutura_urbana__drenagem_pct,eixo07_infraestrutura_urbana__iluminacao_publica_pct,eixo07_infraestrutura_urbana__pavimentacao_pct,eixo08_mobilidade__onibus_pct,eixo08_mobilidade__tempo_cobertura_pct,eixo08_mobilidade__tempo_medio_min,eixo10_cultura_esporte_lazer__bibliotecas_qtd,eixo10_cultura_esporte_lazer__cops_qtd,eixo10_cultura_esporte_lazer__equipamentos_culturais_secec_qtd_parcial,eixo10_cultura_esporte_lazer__espaco_cultural_percebido_pct,eixo10_cultura_esporte_lazer__quadras_esportivas_percebido_pct,eixo11_meio_ambiente__area_de_risco_maior_atencao,eixo11_meio_ambiente__area_de_risco_monitorada,eixo11_meio_ambiente__drenagem_percebido_pct,eixo11_meio_ambiente__jardins_parques_percebido_pct,eixo11_meio_ambiente__parques_ibram_qtd,eixo11_meio_ambiente__ruas_alagadas_percebido_pct
Lago Sul,8.8,310,1399902,Central,62,22,7,-89%,-68%,0.0,0.0,,,0.09,0.07,1.3,,21398.23,17.5,2.0,5.4,99,93.3,98.6,94.2,99.5,99.8,(***),98.3,20.4,,0,0,59.8,65.8,False,False,94.2,79.9,9,5
Riacho Fundo,70.1,58,2658126,Centro-Sul,438,114,69,-84%,-39%,0.0,6.98,,,0.26,0.31,9.9,32.2,3182.11,16.5,15.0,25.5,99.8,93.6,97.8,71.6,94.6,95.7,33.1,92.0,22.0,,1,0,37.2,81.7,False,True,71.6,80.6,1,20.5
Lago Norte,34,310,1399902,Central,90,38,19,-79%,-50%,0.0,2.18,,,0.19,0.15,6.1,,14647.36,16.7,10.0,7.7,94.9,92.3,94.9,83.4,98.2,91.4,5.9,93.6,23.4,,0,0,33.1,47.4,False,False,83.4,54.8,2,14.7
Candangolândia,70.5,58,2658126,Centro-Sul,93,25,22,-76%,-12%,0.0,0.0,,,0.26,0.26,9.1,,3854.58,8.4,11.0,15.4,100,99.4,99.4,64.9,99,99,27.8,96.6,26.2,,0,0,75.7,88.4,False,False,64.9,71.6,1,12
Águas Claras,17.1,566,4792103,Sudoeste,544,193,177,-67%,-8%,0.0,1.35,,,0.08,0.12,4,,11994.87,5.9,3.0,2.8,99.9,99.9,98.6,98.6,99.3,99.6,5.4,97.0,27.1,,0,0,77.1,85.1,False,False,98.6,88,2,7.5
Riacho Fundo II,81.7,58,2658126,Centro-Sul,536,164,128,-76%,-22%,0.0,1.36,,,0.33,0.3,13.6,32.1,2360.3,17.9,13.0,40.7,98.9,96.5,88.9,83.9,96.5,98.7,50.1,92.4,34.8,,0,0,30.7,69.5,False,False,83.9,59.5,0,7
Sudoeste/Octogonal,13.8,310,1399902,Central,,,,,,0.0,0.0,,,0.08,0.09,(***),,15654.6,12.1,5.0,3.4,100,100,97.3,97,98.4,99.7,4.5,98.6,18.5,,0,0,80.7,95.5,False,False,97,99,2,(***)
Varjão,90.5,310,1399902,Central,,,,,,0.0,31.76,,,0.55,0.37,14.6,48.1,2285.96,30.4,28.0,16.6,99.8,99.6,98.3,68,97.7,99.8,44.6,92.8,24.9,,0,0,43.1,79.1,False,False,68,52.4,0,31.7
Park Way,24.2,58,2658126,Centro-Sul,39,11,12,-69%,9%,8.31,0.0,,,0.14,0.15,1.8,,18155.64,7.6,2.0,2.6,98.3,53.8,90.8,74.3,99.4,99.5,4,97.5,25.8,,0,0,43,52.4,False,False,74.3,80.8,3,4.9
SCIA/Estrutural,95,58,2658126,Centro-Sul,611,194,136,-78%,-30%,9.88,35.13,,,0.79,0.75,13.4,64.2,1741.97,29.2,34.0,68.9,79.3,77.5,81.3,32.3,78.1,72.6,44.6,93.6,26.3,,1,0,25.3,57.9,False,False,32.3,26,1,53.8
Sobradinho II,82.2,335,4440203,Norte,,,,,,2.27,9.55,,,0.29,0.35,13.8,37.3,5832.0,26.6,19.0,59.8,93,87.7,96.3,61.4,99.7,95.7,40,92.0,33.9,,0,0,12.1,36.3,True,True,61.4,21.2,0,22.8
Jardim Botânico,30.7,219,2869372,Leste,13,19,10,-23%,-47%,0.0,0.0,,,0.17,0.17,4.7,4.7,10769.1,13.7,11.4,43.9,88.7,60.9,97.3,89,97.2,92.6,12.8,96.5,30.1,,0,0,51.7,75.5,False,False,89,79.2,2,12.2
Itapoã,95.6,219,2869372,Leste,1360,345,256,-81%,-26%,5.56,15.67,,,0.58,0.49,15.7,54.5,2909.85,20.8,14.0,48.5,99.4,98.9,99.6,58.7,97.6,97.4,46.7,85.8,31.7,,0,0,7.8,31.7,False,False,58.7,12,1,23.1
SIA,39.9,58,2658126,Centro-Sul,125,24,35,-72%,46%,,,,,0.12,0.14,(***),,7883.54,(***),24.0,36.4,100,99.7,99.3,80.4,94.1,91.9,12.5,89.3,17.9,,0,0,40,56.1,False,False,80.4,54.1,0,25
Vicente Pires,50.8,566,4792103,Sudoeste,,,,,,0.0,1.82,,,0.28,0.27,5.9,,7867.44,11,8.0,57.4,88.3,84.8,60.9,75.7,90.9,84.3,18.6,96.2,28.5,,0,0,30.3,42.3,True,True,75.7,47.7,1,30.5
Fercal,87,335,4440203,Norte,27,11,6,-78%,-45%,20.64,31.33,,,0.61,0.6,14.6,60.5,2594.48,13.5,6.0,81.9,61.4,20,83.6,9.2,89.9,67.9,44.5,89.3,31.1,,0,0,6.3,41,True,True,9.2,13,0,41.9
Sol Nascente/Pôr do Sol,94,616,4193955,Oeste,,,,,,3.46,16.69,,,0.66,0.71,13,60.8,2268.32,11.4,9.0,91.5,95.4,71.6,93.5,38.1,93.4,56.4,62.8,98.3,41.1,,0,0,4.3,15.8,True,True,38.1,7.5,0,44.5
Arniqueira,65,566,4792103,Sudoeste,,44,23,*,-48%,0.0,4.26,,,0.29,0.35,8.7,29.1,5559.37,19.2,14.0,68.5,98,56.7,70.7,68.8,97.8,97.8,27.7,95.9,24.4,,0,0,29.6,50.2,True,True,68.8,51.4,0,22.7
